place_id,userid,travel_date,point
4,9956,2016.1.23 0:02,5
4,7253,2016.1.5 0:02,5
4,149,2016.1.18 0:01,5
4,9885,2015.1.27 0:12,5
4,5515,2015.1.27 0:10,4
4,9304,2015.1.11 0:09,5
4,8950,2015.1.9 0:05,3
4,1384,2013.1.31 0:03,4
4,7766,2012.1.6 0:12,4
4,9601,2012.1.9 0:09,4
4,9273,2012.1.28 0:03,5
4,7697,2012.1.6 0:02,4
4,5745,2018.1.4 0:11,4
4,9142,2017.1.29 0:07,5
4,4465,2017.1.29 0:01,5
4,6796,2015.1.31 0:05,4
5,7496,2020.1.10 0:06,5
5,9100,2019.1.31 0:10,4
5,11512,2019.1.8 0:10,4
5,10248,2019.1.30 0:09,5
5,7649,2019.1.7 0:04,4
5,6704,2019.1.7 0:04,4
5,8273,2019.1.25 0:03,5
5,8290,2018.1.3 0:10,4
5,11056,2017.1.18 0:11,5
5,10787,2017.1.20 0:10,4
5,4340,2017.1.12 0:08,4
5,8797,2017.1.28 0:02,4
5,2771,2016.1.8 0:07,5
5,10583,2016.1.15 0:04,4
5,7571,2016.1.25 0:02,5
5,9956,2016.1.23 0:02,5
5,11455,2016.1.20 0:01,3
5,40,2015.1.30 0:12,5
5,5515,2015.1.17 0:11,4
5,9304,2015.1.11 0:09,5
5,1384,2013.1.31 0:03,3
5,9601,2012.1.2 0:09,3
5,9586,2012.1.27 0:08,5
5,9588,2011.1.9 0:01,4
5,5745,2018.1.4 0:11,4
5,6306,2018.1.13 0:04,3
5,6792,2017.1.26 0:05,5
5,4709,2017.1.30 0:03,5
5,4465,2017.1.29 0:01,5
5,299,2016.1.17 0:11,5
6,5732,2022.1.24 0:02,5
6,9964,2021.1.16 0:08,5
6,8861,2020.1.21 0:08,5
6,7496,2020.1.10 0:06,5
6,11474,2020.1.12 0:04,4
6,203,2019.1.12 0:11,4
6,10248,2019.1.22 0:08,5
6,6383,2019.1.29 0:07,5
6,2260,2018.1.30 0:11,5
6,6279,2018.1.8 0:10,5
6,8926,2018.1.10 0:09,5
6,10175,2018.1.7 0:07,4
6,6580,2018.1.2 0:05,4
6,1732,2017.1.28 0:11,4
6,10798,2017.1.23 0:11,5
6,3170,2017.1.15 0:11,5
6,9645,2017.1.24 0:09,5
6,4340,2017.1.14 0:08,5
6,10423,2017.1.13 0:08,5
6,5769,2017.1.11 0:07,4
6,10041,2017.1.8 0:07,5
6,9886,2017.1.8 0:06,4
6,8315,2016.1.19 0:12,4
6,8783,2016.1.17 0:11,4
6,10426,2016.1.3 0:10,5
30,3181,2021.1.14 0:04,5
30,8487,2020.1.7 0:07,5
30,10724,2020.1.24 0:05,4
30,6515,2019.1.26 0:09,4
30,8707,2019.1.9 0:06,5
30,5005,2019.1.4 0:06,5
30,7545,2019.1.31 0:05,5
30,4717,2019.1.21 0:01,5
30,9645,2018.1.22 0:09,5
30,5259,2018.1.26 0:08,5
30,738,2018.1.15 0:03,4
30,11015,2018.1.22 0:02,4
30,1695,2018.1.17 0:01,5
30,10798,2017.1.24 0:11,5
30,6619,2017.1.20 0:11,5
30,9437,2017.1.19 0:11,4
30,1016,2016.1.11 0:11,5
30,10134,2016.1.9 0:10,5
30,9421,2016.1.22 0:08,4
30,5355,2016.1.29 0:07,5
30,10064,2016.1.25 0:07,5
30,10394,2016.1.27 0:06,5
30,8255,2016.1.14 0:06,4
30,8219,2016.1.23 0:05,5
30,9654,2016.1.5 0:05,5
30,7489,2016.1.5 0:05,5
30,10524,2016.1.14 0:04,5
30,9104,2016.1.12 0:03,5
30,6778,2015.1.7 0:12,5
30,9746,2015.1.17 0:11,5
30,7155,2015.1.12 0:11,4
30,6200,2015.1.8 0:11,5
30,10151,2015.1.22 0:10,4
30,8310,2015.1.19 0:10,4
30,9939,2015.1.9 0:09,4
30,5515,2015.1.5 0:09,5
30,2122,2015.1.17 0:08,4
30,8675,2015.1.12 0:08,5
30,2364,2015.1.10 0:08,5
30,10965,2015.1.3 0:07,5
30,3306,2015.1.29 0:06,5
30,4933,2015.1.4 0:06,4
30,3038,2019.1.14 0:08,5
30,5090,2018.1.18 0:12,4
30,9331,2018.1.4 0:04,5
30,3089,2017.1.17 0:03,5
30,1661,2014.1.31 0:08,5
39,2485,2019.1.30 0:10,4
39,3561,2019.1.16 0:09,4
39,10971,2019.1.8 0:09,5
39,10369,2019.1.8 0:05,4
39,6894,2018.1.20 0:10,5
39,5887,2018.1.20 0:03,4
